date,Dining Room,Bathroom,Kitchen,Toliet,Desk,Bed,Living Room,Garage,Balcony,Family Room,Home Office,Laundry Room,Mudroom,Chair,Playroom,Basement,Petroom,Coffee room,Children room,Family Room,Car room,Light room,Classroom,Nurse Room,VR Room,Mining Room,VC Room,Storage,Hall,The Pound,Window Room,Playground,Workout Room,Master Bedroom, Entry Room,Great Room ,Trade Room,Study Room,Painting Room,Bedroom
20181201,,1,1,,,,3,1,33,35,5,9,21,,,,7,4,,1,2,6,32,,,2,10,2,13,,5,1,3,38,1,9,,3,1,6
20190101,,1,1,,,,3,1,32,40,6,9,18,,,,6,4,,3,2,6,31,,,1,7,2,11,,5,1,3,38,,8,,2,1,6
20190201,,,,,,,3,2,30,37,5,8,20,1,,1,5,2,,2,2,5,38,,,3,7,1,8,,5,1,2,40,0,7,0,3,,6
20190301,,1,1,1,,,3,1,26,38,6,8,19,,,1,8,3,,3,2,4,32,,,2,7,3,10,1,4,,2,45,,7,,2,,5
20190401,,0,0,,,,3,1,37,36,4,9,20,,,,6,3,,2,1,5,35,,,2,10,6,10,,7,,3,38,1,7,,2,,6
20190501,,,,,,,3,2,41,25,5,8,19,,,1,7,2,,2,2,6,35,,,2,10,3,10,1,5,1,2,35,1,6,,3,,6
20190601,,,,,,,3,1,36,27,5,10,25,,,,5,3,,2,2,5,38,0,,1,20,4,12,,5,,2,41,,5,0,2,,6
20190701,,,,2,,,3,2,30,23,3,9,28,,,,6,2,,2,2,5,47,0,,1,12,5,11,,5,,3,35,,7,,3,,7
20190801,,,,1,,,3,2,26,29,5,9,28,0,,,6,2,,3,2,6,37,,,2,13,2,9,,8,,3,30,,8,,3,0,5
20190901,,,,,,,3,1,28,34,6,11,25,,,,6,2,,3,2,5,33,,,2,13,3,8,,6,,,30,1,7,,3,,9
20191001,,,,,,,4,2,36,26,7,10,28,,,,6,2,,3,2,7,30,,,2,11,4,9,,7,1,2,28,,7,,3,,7
20191101,,,,,,,3,1,34,41,7,13,27,,,1,4,2,,3,1,5,29,,,1,14,1,6,,4,1,2,25,,9,,3,,7
20191201,,1,1,,,,5,1,31,31,6,10,26,,,,6,2,,4,1,5,34,,,1,12,3,6,,6,,3,30,0,7,0,4,1,6
20200101,,,,,,,5,1,25,46,5,11,21,,,,5,3,,3,2,7,28,,,2,10,5,6,,6,,2,32,,8,0,4,,7
20200201,,,,,,,4,1,24,56,4,13,19,,,,6,2,,2,1,4,28,,,1,8,4,4,,7,,1,35,,4,,3,,7
20200301,,0,0,,,,7,1,25,58,3,10,20,,,,5,1,,2,2,5,29,,,1,8,2,7,,7,,2,32,,6,0,5,1,8
20200401,,,,,,,19,1,30,16,4,11,24,,,,6,2,,2,1,4,36,0,,1,11,1,7,,7,,2,33,,8,,5,1,8
20200501,,,,,,,9,1,40,14,7,11,26,,,,8,2,,3,1,10,36,,,1,14,2,6,,5,,3,27,,8,,4,,7
20200601,,,,,0,,5,2,29,24,6,12,30,1,,1,9,2,,3,2,6,44,,,1,13,2,4,,8,,3,33,,6,,4,,8
20200701,,,,,,,8,1,29,25,5,10,26,,,,7,2,,3,2,6,38,,,1,14,1,6,,7,1,3,40,,7,,4,,8
20200801,,,,,0,,7,2,26,34,5,10,24,,,1,8,2,,3,2,6,34,,,2,11,1,5,1,8,1,3,26,,8,0,4,3,7
20200901,,,,,,,6,1,30,40,5,10,25,,,,6,2,,2,2,6,33,,,2,13,2,4,,7,1,4,25,,9,,7,,6
20201001,,1,1,,,,9,1,27,47,6,10,22,,,1,5,2,,1,2,5,32,,,2,12,2,5,1,6,1,3,24,,6,0,6,,6
20201101,,0,0,,,,7,2,28,47,7,11,26,0,,,7,3,,2,1,4,36,,,2,20,1,3,1,5,,3,25,,9,0,4,,7
20201201,,,,,,,8,1,27,36,6,10,29,,,1,7,3,,3,2,5,34,,,1,15,2,4,1,4,,4,26,,8,,5,,8
